0:1, 0.0380626
0:2, 0.0731592
0:3, 1.40121
1:1, 0.0731592
1:2, 1.40121
1:3, 0.0567707
2:1, 1.40121
2:2, 0.0567707
2:3, 0.0555668
3:1, 0.0380626
3:2, 0.0731592
3:3, 1.40121
4:1, 1.40121
4:2, 0.0567707
4:3, 0.0555668
5:1, 0.0567707
5:2, 0.0555668
5:3, 1.4001
6:1, 0.0555668
6:2, 1.4001
6:3, 0.0554688
7:1, 1.4001
7:2, 0.0554688
7:3, 0.0585991
8:1, 0.0554688
8:2, 0.0585991
8:3, 1.41338
9:1, 0.0555668
9:2, 1.4001
9:3, 0.0554688
10:1, 0.0554688
10:2, 0.0585991
10:3, 1.41338
11:1, 0.0585991
11:2, 1.41338
11:3, 0.0369187
12:1, 1.41338
12:2, 0.0369187
12:3, 0.0771945
13:1, 0.0369187
13:2, 0.0771945
13:3, 1.41309
14:1, 0.0771945
14:2, 1.41309
14:3, 0.478785
15:1, 1.41338
15:2, 0.0369187
15:3, 0.0771945
16:1, 0.0771945
16:2, 1.41309
16:3, 0.478785
17:1, 1.41309
17:2, 0.478785
17:3, 0.0489295
18:1, 0.478785
18:2, 0.0489295
18:3, 1.30713
19:1, 0.0489295
19:2, 1.30713
19:3, 0.478785
20:1, 1.30713
20:2, 0.478785
20:3, 0.0373749
21:1, 0.478785
21:2, 0.0489295
21:3, 1.30713
22:1, 1.30713
22:2, 0.478785
22:3, 0.0373749
23:1, 0.478785
23:2, 0.0373749
23:3, 1.3053
24:1, 0.0373749
24:2, 1.3053
24:3, 0.49187
25:1, 1.3053
25:2, 0.49187
25:3, 0.0372069
26:1, 0.49187
26:2, 0.0372069
26:3, 1.30375
27:1, 0.0373749
27:2, 1.3053
27:3, 0.49187
28:1, 0.49187
28:2, 0.0372069
28:3, 1.30375
29:1, 0.0372069
29:2, 1.30375
29:3, 0.49187
30:1, 1.30375
30:2, 0.49187
30:3, 0.0506094
31:1, 0.49187
31:2, 0.0506094
31:3, 1.30621
32:1, 0.0506094
32:2, 1.30621
32:3, 0.478785
33:1, 1.30375
33:2, 0.49187
33:3, 0.0506094
34:1, 0.0506094
34:2, 1.30621
34:3, 0.478785
35:1, 1.30621
35:2, 0.478785
35:3, 0.042732
36:1, 0.478785
36:2, 0.042732
36:3, 1.3462
37:1, 0.042732
37:2, 1.3462
37:3, 0.478785
38:1, 1.3462
38:2, 0.478785
38:3, 0.0532047
39:1, 0.478785
39:2, 0.042732
39:3, 1.3462
40:1, 1.3462
40:2, 0.478785
40:3, 0.0532047
41:1, 0.478785
41:2, 0.0532047
41:3, 1.34175
42:1, 0.0532047
42:2, 1.34175
42:3, 0.49187
43:1, 1.34175
43:2, 0.49187
43:3, 0.0548725
44:1, 0.49187
44:2, 0.0548725
44:3, 1.34247
45:1, 0.0532047
45:2, 1.34175
45:3, 0.49187
46:1, 0.49187
46:2, 0.0548725
46:3, 1.34247
47:1, 0.0548725
47:2, 1.34247
47:3, 0.49187
48:1, 1.34247
48:2, 0.49187
48:3, 0.0427964
49:1, 0.49187
49:2, 0.0427964
49:3, 1.34787
50:1, 0.0427964
50:2, 1.34787
50:3, 0.478785
51:1, 1.34247
51:2, 0.49187
51:3, 0.0427964
52:1, 0.0427964
52:2, 1.34787
52:3, 0.478785
53:1, 1.34787
53:2, 0.478785
53:3, 0.0216191
54:1, 0.478785
54:2, 0.0216191
54:3, 1.3353
55:1, 0.0216191
55:2, 1.3353
55:3, 0.478785
56:1, 1.3353
56:2, 0.478785
56:3, 0.0313176
57:1, 0.478785
57:2, 0.0216191
57:3, 1.3353
58:1, 1.3353
58:2, 0.478785
58:3, 0.0313176
59:1, 0.478785
59:2, 0.0313176
59:3, 1.34446
60:1, 0.0313176
60:2, 1.34446
60:3, 0.49187
61:1, 1.34446
61:2, 0.49187
61:3, 0.0296126
62:1, 0.49187
62:2, 0.0296126
62:3, 1.34548
63:1, 0.0313176
63:2, 1.34446
63:3, 0.49187
64:1, 0.49187
64:2, 0.0296126
64:3, 1.34548
65:1, 0.0296126
65:2, 1.34548
65:3, 0.49187
66:1, 1.34548
66:2, 0.49187
66:3, 0.0198634
67:1, 0.49187
67:2, 0.0198634
67:3, 1.33548
68:1, 0.0198634
68:2, 1.33548
68:3, 0.0621849
69:1, 1.34548
69:2, 0.49187
69:3, 0.0198634
70:1, 0.0198634
70:2, 1.33548
70:3, 0.0621849
71:1, 1.33548
71:2, 0.0621849
71:3, 0.0338856
72:1, 0.0621849
72:2, 0.0338856
72:3, 1.39909
73:1, 0.0338856
73:2, 1.39909
73:3, 0.055894
74:1, 1.39909
74:2, 0.055894
74:3, 0.0142639
75:1, 0.0621849
75:2, 0.0338856
75:3, 1.39909
76:1, 1.39909
76:2, 0.055894
76:3, 0.0142639
77:1, 0.055894
77:2, 0.0142639
77:3, 1.39505
78:1, 0.0142639
78:2, 1.39505
78:3, 0.0539499
79:1, 1.39505
79:2, 0.0539499
79:3, 0.0135757
80:1, 0.0539499
80:2, 0.0135757
80:3, 1.40914
81:1, 0.0142639
81:2, 1.39505
81:3, 0.0539499
82:1, 0.0539499
82:2, 0.0135757
82:3, 1.40914
83:1, 0.0135757
83:2, 1.40914
83:3, 0.0606637
84:1, 1.40914
84:2, 0.0606637
84:3, 0.0349699
85:1, 0.0606637
85:2, 0.0349699
85:3, 1.41327
86:1, 0.0349699
86:2, 1.41327
86:3, 0.478785
87:1, 1.40914
87:2, 0.0606637
87:3, 0.0349699
88:1, 0.0349699
88:2, 1.41327
88:3, 0.478785
89:1, 1.41327
89:2, 0.478785
89:3, 0.019932
90:1, 0.478785
90:2, 0.019932
90:3, 1.32063
91:1, 0.019932
91:2, 1.32063
91:3, 0.478785
92:1, 1.32063
92:2, 0.478785
92:3, 0.0216191
93:1, 0.478785
93:2, 0.019932
93:3, 1.32063
94:1, 1.32063
94:2, 0.478785
94:3, 0.0216191
95:1, 0.478785
95:2, 0.0216191
95:3, 1.3353
96:1, 0.0216191
96:2, 1.3353
96:3, 0.49187
97:1, 1.3353
97:2, 0.49187
97:3, 0.0198634
98:1, 0.49187
98:2, 0.0198634
98:3, 1.33548
99:1, 0.0216191
99:2, 1.3353
99:3, 0.49187
100:1, 0.49187
100:2, 0.0198634
100:3, 1.33548
101:1, 0.0198634
101:2, 1.33548
101:3, 0.49187
102:1, 1.33548
102:2, 0.49187
102:3, 0.0181807
103:1, 0.49187
